Last name,First name,Birth year,Death year,Genre,Nationality,Gender
Farnaby,Giles,1562,1640,Classical,,Male
Farnon,Robert,1917,Still living,Classical,,Male
Farrenc,Louise,1804,1875,Romantic,French,Female
Fasch,Johann Friedrich,1688,1758,Classical,German,Male
Fauré,Gabriel,1845,1924,Modernist,French,Male
Fayrfax,Robert,1464,1521,Classical,,Male
Ferguson,Howard,1908,1999,Classical,,Male
Fesca,Friedrich Ernst,1789,1826,Classical,,Male
Fibish,Zdeněk,1850,1900,Classical,,Male
Field,John,1782,1837,Classical,,Male
Fils,Anton,1733,1760,Classical,German,Male
Finzi,Gerald,1901,1956,Modern,English,Male
Fischer,Johann Caspar Ferdinand,1656,1746,Baroque,German,Male
Fortner,Wolfgang,1907,1987,Modern,German,Male
Franck,César,1822,1890,Romantic,Belgian,Male
Frescobaldi,Girolamo,1583,1643,Baroque,Italian,Male
Fux,Johann Joseph,1660,1741,Baroque,Austrian,Male
Gabrieli,Andrea,1532,1585,Renaissance,Italian,Male
Gabrieli,Giovanni,1554,1612,Renaissance,Italian,Male
Gerhard,Robert,1896,1970,Modern,Spanish,Male
Gershwin,George,1898,1937,Multiple,American,Male
Gibbons,Orlando,1583,1625,Renaissance,English,Male
Ginastera,Alberto Evaristo,1916,1983,Classical,Argentinian,Male
Glass,Philip,1937,Still living,Modern,American,Male
Glinka,Mikhail,1804,1857,Romantic,Russian,Male
Gluck,Christoph Willibald,1714,1787,Classical,German,Male
Godard,Benjamin,1849,1895,Romantic,French,Male
Goldmark,Karl,1830,1915,Romantic,Hungarian-Austrian,Male
Goodyear,Stewart,1978,Still living,Modern,Canadian,Male
Gossec,François Joseph,1734,1829,Classical,French,Male
Gounod,Charles,1818,1893,Romantic,French,Male
Grainger,Percy,1882,1961,Modern,Australian-American,Male
Granados,Enrique,1867,1916,Romantic,Spanish,Male
Gregson,Peter,1987,Still living,Modern,Scottish,Male
Grieg,Edvard Hagerup,1843,1907,Romantic,Norwegian,Male
Griffes,Charles Tomlinson,1884,1920,Impressionist,American,Male
Grofé,Ferde,1892,1972,Modern,American,Male
Groslot,Robert,1951,Still living,Modern,Belgian,Male
Gouvy,Théodore,1819,1898,Romantic,French-German,Male
Guðnadóttir,Hildur,1982,Still living,Modern,Icelandic,Female
Gurney,Ivor,1890,1937,Romantic,English,Male
Hailstork,Adolphus,1941,Still living,Modern,American,Male
Hakenberger,Andreas,1574,1627,Baroque,German,Male
Handel,George Frideric,1685,1759,Baroque,German-English,Male
Harbison,John,1938,Still living,Modern,American,Male
Harrison,Lou,1917,2003,Modern,American,Male
Haydn,Franz Joseph,1732,1809,Classical,Austrian,Male
Haydn,Michael,1737,1806,Classical,Austrian,Male
Heinichen,Johann David,1683,1729,Baroque,German,Male
Henze,Hans Werner,1926,2012,Modern,German,Male
Hindemith,Paul,1895,1963,Modern,German,Male
Holst,Gustav Theodore,1874,1934,Romantic,English,Male
Holzbauer,Ignaz,1711,1783,Classical,Austrian,Male
Horner,James,1953,2015,Film music,American,Male
Howell,Dorothy,1898,1982,Modern,English,Female
Hueber,Wendelin,1615,1679,Baroque,Austrian,Male
Ireland,John,1878,1962,Modern,English,Male
Ives,Charles Edward,1874,1954,Modernist,American,Male
Janáček,Leoš,1854,1928,Romantic,Czech,Male
Jaegerhuber,Werner,1900,1953,Modern,Haitian,Male
Jarre,Maurice-Alexis,1924,2009,Film music,French,Male
Jarrett,Keith,1945,Still living,Modern,American,Male
Joplin,Scott,1868,1917,Ragtime,American,Male
Kabalevsky,Dmitry,1904,1987,Modern,Russian,Male
Kavanagh,Dale,1958,Still living,Modern,Canadian,Male
Kernis,Aaron Jay,1960,Still living,Modern,American,Male
Korngold,Erich Wolfgang,1897,1957,Modern,Austrian-American,Male
Kozeluch,Leopold,1747,1818,Classical,Bohemian (Czech Republic),Male
Kraus,Joseph Martin,1756,1792,Classical,German,Male
Kreisler,Fritz,1875,1962,Modern,Austrian-American,Male
Krenek,Ernst,1900,1991,Modern,Austrian-American,Male
Kromer,Franz,1759,1831,Classical,Moravian (Czech Republic),Male
Lafitte,José White,1836,1918,Romantic,Cuban-French,Male
Lalo,Édouard,1823,1892,Romantic,French,Male
Lamothe,Ludovic,1882,1953,Romantic,Haitian,Male
Lang,David,1957,Still living,Modern,American,Male
Leclair,Jean-Marie,1697,1764,Baroque,French,Male
Leduc,Simon,1742,1777,Classical,French,Male
Lehmann,Liza,1862,1918,Romantic,English,Female
Léonin,,12th c.,,Medieval,French,Male
Ligeti,György,1923,2006,Modern,Hungarian-Austrian,Male
Liszt,Franz,1811,1886,Romantic,Hungarian,Male
Lotti,Antonio,1667,1740,Baroque,Italian,Male
Lully,Jean-Baptiste,1632,1687,Baroque,Italian-French,Male
